,drug_id,drug_name,PubChem Substance,PubChem Compound,PubChem Canonical Smiles
12513,DB04890,Bepotastine,46504940,2350,C1CN(CCC1OC(C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O
12581,DB04941,Crofelemer,347909853,,COC1=CC=CC=C1CNC(=O)C2=NOC(=C2)C3=CC=CC=C3
12587,DB04946,Iloperidone,175426913,71360,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
12674,DB05013,Ingenol Mebutate,175426930,6918670,CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C
12711,DB05039,Indacaterol,175426936,6918554,CCC1=C(C=C2CC(CC2=C1)NCC(C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
12980,DB05246,Methsuximide,46505339,6476,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
13008,DB05271,Rotigotine,99443232,59227,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O
13027,DB05294,Vandetanib,175426969,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
13068,DB05332,Romiplostim,347910087,,CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C
13070,DB05336,Obiltoxaximab,347910089,,
13461,DB05812,Abiraterone,175427038,132971,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O
13595,DB05990,Obeticholic acid,347827752,447715,CCC1C2CC(CCC2(C3CCC4(C(C3C1O)CCC4C(C)CCC(=O)O)C)C)O
13684,DB06145,Spiramycin,347827756,6440717,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C
13719,DB06152,Nylidrin,347827757,4567,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
13720,DB06153,Pizotifen,347827758,27400,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1
13721,DB06154,Pentaerythritol Tetranitrate,347827759,6518,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-]
13749,DB06186,Ipilimumab,347910341,,
13770,DB06201,Rufinamide,175427055,129228,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F
13775,DB06203,Alogliptin,175427056,11450633,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N
13776,DB06204,Tapentadol,175427057,9838022,CCC(C1=CC(=CC=C1)O)C(C)CN(C)C
13784,DB06206,Sugammadex,347827763,6918585,C(CSCC1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])O)O)C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
13785,DB06207,Silodosin,175427058,5312125,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
13788,DB06209,Prasugrel,99443238,6918456,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4
13789,DB06210,Eltrombopag,175427059,9846180,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)NN=C3C=CC=C(C3=O)C4=CC(=CC=C4)C(=O)O)C
13795,DB06212,Tolvaptan,175427060,443894,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C
13799,DB06216,Asenapine,175427062,11954293,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
13823,DB06218,Lacosamide,175427063,219078,CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1
13828,DB06228,Rivaroxaban,175427064,9875401,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
13849,DB06237,Avanafil,175427065,9869929,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl
13888,DB06260,Aviptadil,,,
13889,DB06261,Hexaminolevulinate,310264865,6433083,CCCCCCOC(=O)CCC(=O)CN
13912,DB06273,Tocilizumab,347910344,,
13919,DB06282,Levocetirizine,310264866,1549000,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
13920,DB06283,Ziconotide,347910345,,CC1C(=O)NC(C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(CSSCC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)N1)CCCCN)CCCCN)N)C(=O)NC(C(=O)NCC(=O)NC(C(=O)N3)CO)C(C)O)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CO)CCCNC(=N)N)CC(C)C)CCSC)CC4=CC=C(C=C4)O)CC(=O)O)C(=O)N)CCCCN)CO)CCCNC(=N)N)CCCCN
13922,DB06287,Temsirolimus,99443243,23724530,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC
13927,DB06290,Simeprevir,175427067,24873435,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC
13928,DB06292,Dapagliflozin,175427068,9887712,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl
13939,DB06317,Elotuzumab,347910347,,
13949,DB06335,Saxagliptin,99443245,11243969,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N
13961,DB06366,Pertuzumab,347910348,,
13978,DB06402,Telavancin,175427069,3081362,CCCCCCCCCCNCCNC1(CC(OC(C1O)C)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C(=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)CNCP(=O)(O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)C
13981,DB06404,Human C1-esterase inhibitor,347910350,,
13995,DB06410,Doxercalciferol,347827769,46705423,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
13999,DB06414,Etravirine,175427070,193962,CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N
14001,DB06415,Calfactant,347910351,,
14019,DB06441,Cangrelor,310264872,9854012,CSCCNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O)SCCC(F)(F)F
14054,DB06480,Prucalopride,310264873,3052762,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl
14124,DB06589,Pazopanib,175427074,10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
14150,DB06605,Apixaban,175427077,10182969,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
14166,DB06616,Bosutinib,175427079,5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
14190,DB06637,Dalfampridine,175427081,1727,C1=CN=CC=C1N
14212,DB06643,Denosumab,347910354,,
14216,DB06650,Ofatumumab,347910355,,C1COCC2=C1N=CC3=NC(=C4C=CON4)N=C23
14219,DB06655,Liraglutide,347910356,,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O
14225,DB06663,Pasireotide,175427082,9941444,C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN
14234,DB06674,Golimumab,347910358,,
14245,DB06684,Vilazodone,175427083,6918314,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N
14248,DB06689,Ethanolamine Oleate,99443246,5282489,CCCCCCCCC=CCCCCCCCC(=O)O.C(CO)N
14263,DB06695,Dabigatran etexilate,99443249,6445226,CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N
14265,DB06697,Artemether,99443251,68911,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C
14268,DB06699,Degarelix,99443253,16136245,CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)NC(=O)N)NC(=O)C(CC3=CC=C(C=C3)NC(=O)C4CC(=O)NC(=O)N4)NC(=O)C(CO)NC(=O)C(CC5=CN=CC=C5)NC(=O)C(CC6=CC=C(C=C6)Cl)NC(=O)C(CC7=CC8=CC=CC=C8C=C7)NC(=O)C
14274,DB06702,Fesoterodine,99443256,6918558,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2
14279,DB06703,Gadobutrol,99443257,70678987,C1CN(CCN(CCN(CCN1CC(=O)[O-])CC(=O)[O-])C(CO)C(CO)O)CC(=O)[O-].[Gd+3]
14281,DB06705,Gadofosveset trisodium,175427086,73049652,C1CC(CCC1OP(=O)([O-])OCC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])(C2=CC=CC=C2)C3=CC=CC=C3.O.[Na+].[Na+].[Na+].[Gd+3]
14282,DB06706,Isometheptene,99443258,22297,CC(CCC=C(C)C)NC
14284,DB06707,Levonordefrin,99443259,164739,CC(C(C1=CC(=C(C=C1)O)O)O)N
14285,DB06708,Lumefantrine,99443260,6437380,CCCCN(CCCC)CC(C1=C2C3=C(C=C(C=C3)Cl)C(=CC4=CC=C(C=C4)Cl)C2=CC(=C1)Cl)O
14287,DB06710,Methyltestosterone,99443262,6010,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
14289,DB06711,Naphazoline,99443263,4436,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32
14300,DB06714,Propylhexedrine,99443266,7558,CC(CC1CCCCC1)NC
14302,DB06715,Potassium Iodide,99443267,4875,[K+].[I-]
14305,DB06717,Fosaprepitant,99443269,219090,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)N(N3)P(=O)(O)O)C4=CC=C(C=C4)F
14320,DB06729,Sulfaphenazole,99443275,5335,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N
14338,DB06739,Seratrodast,347827787,2449,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C
14363,DB06760,Sacrosidase,347910368,,
14364,DB06761,Beractant,347910369,,
14365,DB06762,Pinacidil,,,CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1
14367,DB06764,Tetryzoline,310264881,5419,C1CC(C2=CC=CC=C2C1)C3=NCCN3
14368,DB06766,Alcaftadine,99443288,19371515,CN1CCC(=C2C3=CC=CC=C3CCN4C2=NC=C4C=O)CC1
14370,DB06768,Ammonium lactate,175427089,62358,CC(C(=O)[O-])O.[NH4+]
14372,DB06770,Benzyl alcohol,175427090,244,C1=CC=C(C=C1)CO
14373,DB06771,Besifloxacin,175427091,10178705,C1CCN(CC(C1)N)C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4CC4)F
14377,DB06772,Cabazitaxel,99443289,9854073,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
14380,DB06774,Capsaicin,347827793,1548943,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
14382,DB06775,Carglumic Acid,99443290,121396,C(CC(=O)O)C(C(=O)O)NC(=O)N
14383,DB06776,Sodium cellulose phosphate,,,
14384,DB06777,Chenodeoxycholic acid,99443291,10133,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
14388,DB06778,Cupric sulfate,347827794,24462,[O-]S(=O)(=O)[O-].[Cu+2]
14389,DB06779,Dalteparin,347910371,,
14393,DB06780,Desoxycorticosterone acetate,,,CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
14394,DB06781,Difluprednate,99443292,443936,CCCC(=O)OC1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C(=O)COC(=O)C
14395,DB06782,Dimercaprol,99443293,3080,C(C(CS)S)O
14399,DB06783,Prussian blue,310264883,2724251,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2].[Fe+2].[Fe+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3]
14400,DB06784,Gallium citrate Ga 67,347827795,65430,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ga+3]
14401,DB06785,Ganirelix,310264884,16130957,CCNC(=NCCCCC(C(=O)NC(CC(C)C)C(=O)NC(CCCCN=C(NCC)NCC)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C)NCC
14403,DB06787,Hexocyclium,310264885,24199,C[N+]1(CCN(CC1)CC(C2CCCCC2)(C3=CC=CC=C3)O)C
14407,DB06788,Histrelin,347827797,56927879,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC2=CN(C=N2)CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CN=CN7)NC(=O)C8CCC(=O)N8
14409,DB06791,Lanreotide,310264887,71349,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N
14411,DB06792,Lanthanum carbonate,310264888,168924,C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3]
14413,DB06794,Lodoxamide,310264890,44564,C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N
14416,DB06797,Mebutamate,,,CCC(C)C(C)(COC(=O)N)COC(=O)N
14418,DB06800,Methylnaltrexone,175427092,16089915,C[N+]1(CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6
14420,DB06801,Monoctanoin,,,CCCCCCCC(=O)OCC(CO)O
14425,DB06805,Pentetate calcium trisodium,347827798,25513,C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Ca+2]
14426,DB06806,Pentetate zinc trisodium,347827799,164209,C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Zn+2]
14427,DB06807,Phenyl aminosalicylate,,,C1=CC=C(C=C1)OC(=O)C2=C(C=C(C=C2)N)O
14428,DB06809,Plerixafor,99443297,65015,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3
14430,DB06811,Polidocanol,175427093,656641,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
14431,DB06812,Povidone-iodine,347910372,,
14435,DB06815,Pyrithione zinc,347827800,26041,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2]
14436,DB06816,Pyrvinium,310264894,5281035,CC1=CC(=C(N1C2=CC=CC=C2)C)C=CC3=[N+](C4=C(C=C3)C=C(C=C4)N(C)C)C
14437,DB06817,Raltegravir,175427095,54671008,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F
14440,DB06820,Sulconazole,310264896,5318,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
14441,DB06821,Sulfameter,,,COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
14442,DB06822,Tinzaparin,347910373,,
14449,DB06827,Viomycin,175427096,3037981,C1C(NC(=NC1O)N)C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CO)CO)NC(=O)CC(CCCN)N
16563,DB08439,Parecoxib,99444910,119828,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C
17036,DB08792,Diloxanide,99445263,11367,CN(C1=CC=C(C=C1)O)C(=O)C(Cl)Cl
17038,DB08795,Azidocillin,99445265,15574941,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=[N+]=[N-])C(=O)O)C
17043,DB08796,Pipazethate,99445266,22425,C1CCN(CC1)CCOCCOC(=O)N2C3=CC=CC=C3SC4=C2N=CC=C4
17044,DB08797,Salicylamide,99445267,5147,C1=CC=C(C(=C1)C(=O)N)O
17045,DB08798,Sulfamoxole,99445268,12894,CC1=C(OC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
17046,DB08799,Antazoline,99445269,2200,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
17047,DB08800,Chloropyramine,99445270,25295,CN(C)CCN(CC1=CC=C(C=C1)Cl)C2=CC=CC=N2
17050,DB08802,Isothipendyl,99445272,3781,CC(CN1C2=CC=CC=C2SC3=C1N=CC=C3)N(C)C
17051,DB08803,Tymazoline,99445273,34154,CC1=CC(=C(C=C1)C(C)C)OCC2=NCCN2
17055,DB08807,Bopindolol,99445277,44112,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C3=CC=CC=C3
17060,DB08808,Bupranolol,99445278,2475,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O
17068,DB08811,Tofisopam,175427099,5502,CCC1C(=NN=C(C2=CC(=C(C=C12)OC)OC)C3=CC(=C(C=C3)OC)OC)C
17086,DB08816,Ticagrelor,175427101,9871419,CCCSC1=NC2=C(C(=N1)NC3CC3C4=CC(=C(C=C4)F)F)N=NN2C5CC(C(C5O)O)OCCO
17102,DB08819,Tafluprost,175427102,9868491,CC(C)OC(=O)CCCC=CCC1C(CC(C1C=CC(COC2=CC=CC=C2)(F)F)O)O
17103,DB08820,Ivacaftor,175427103,16220172,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C
17106,DB08824,Ioflupane I-123,175427106,3086674,COC(=O)C1C2CCC(N2CCCF)CC1C3=CC=C(C=C3)I
17107,DB08826,Deferiprone,175427107,2972,CC1=C(C(=O)C=CN1C)O
17113,DB08835,Spaglumic Acid,175427113,210320,CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O
17162,DB08860,Pitavastatin,175427122,5282452,C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)O)O)O)C4=CC=C(C=C4)F
17170,DB08864,Rilpivirine,175427123,6451164,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)C=CC#N
17172,DB08865,Crizotinib,310264901,11626560,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
17174,DB08867,Ulipristal,310264902,13559281,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O
17186,DB08874,Fidaxomicin,175427128,70678896,CCC1C=C(C(CC=CC=C(C(=O)OC(CC=C(C=C(C1OC2C(C(C(C(O2)(C)C)OC(=O)C(C)C)O)O)C)C)C(C)O)COC3C(C(C(C(O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)C
17191,DB08877,Ruxolitinib,175427129,25126798,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
17194,DB08879,Belimumab,347910378,,
17195,DB08880,Teriflunomide,347827807,54684141,CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O
17196,DB08881,Vemurafenib,175427131,42611257,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F
17197,DB08882,Linagliptin,175427132,10096344,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C
17198,DB08883,Perampanel,347827808,9924495,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4
17199,DB08884,Gadoxetic acid,175427133,131704314,[H+].[H+].CCOC1=CC=C(C=C1)CC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Gd+3]
17200,DB08885,Aflibercept,347910379,,
17205,DB08888,Ocriplasmin,347910381,,
17214,DB08890,Linaclotide,175427136,16158208,CC1C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)CNC(=O)C(NC2=O)C(C)O)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)O)C(=O)NC(CSSCC(C(=O)N3)N)C(=O)NC(C(=O)N5CCCC5C(=O)N1)CC(=O)N)CC6=CC=C(C=C6)O)CCC(=O)O
17219,DB08893,Mirabegron,175427137,9865528,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O
17225,DB08896,Regorafenib,175427139,11167602,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F
17243,DB08897,Aclidinium,175427140,11434515,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5
17249,DB08899,Enzalutamide,175427141,15951529,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C
17250,DB08900,Teduglutide,347910383,,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(=O)N)NC(=O)C(C(C)CC)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)O)NC(=O)C(CC(=O)N)NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CO)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC5=CN=CN5)N
17266,DB08902,Raxibacumab,347910384,,
17267,DB08903,Bedaquiline,175427143,5388906,CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O
17268,DB08904,Certolizumab pegol,347910385,,
17270,DB08906,Fluticasone furoate,175427145,9854489,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)OC(=O)C5=CC=CO5)C)O)F)C)F
17271,DB08907,Canagliflozin,175427146,24812758,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
17275,DB08909,Glycerol Phenylbutyrate,175427147,10482134,C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3
17276,DB08910,Pomalidomide,175427148,134780,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
17279,DB08911,Trametinib,175427149,11707110,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC(=CC=C4)NC(=O)C)C5CC5
17290,DB08916,Afatinib,175427153,10184653,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4
17293,DB08917,Ferric Carboxymaltose,347910386,,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC(C(CO)O)C(C(C(=O)O)O)O)CO)CO)O)O)O)O.O.O.[OH-].[Fe]
